date,temperature_2m_max,temperature_2m_mean,temperature_2m_min,precipitation_sum,precipitation_hours,sunshine_duration,daylight_duration,cloudcover_mean,wind_speed_10m_max,weathercode,weathercode_text,sunshine_hours,daylight_hours,precip_category,weather_type,is_dry_day
2024-03-01,9.8,4.8,0.2,0.0,0.0,15894.41,39588.64,79,15.3,3,bedeckt,4.415113888888889,10.996844444444445,none,cloudy,True
2024-03-02,12.3,7.2,4.2,0.0,0.0,25534.84,39815.23,80,9.4,3,bedeckt,7.093011111111111,11.059786111111112,none,cloudy,True
2024-03-03,14.9,8.3,3.0,0.0,0.0,34793.37,40042.31,66,12.2,3,bedeckt,9.664825,11.122863888888888,none,partly_cloudy,True
2024-03-04,10.4,7.7,5.5,0.0,0.0,2958.55,40269.7,90,18.8,3,bedeckt,0.8218194444444445,11.186027777777777,none,cloudy,True
2024-03-05,8.6,6.3,2.7,1.6,9.0,0.0,40497.24,83,9.5,53,"Niesel, mäßig",0.0,11.249233333333333,light,drizzle,False
2024-03-06,10.8,5.7,0.9,0.2,2.0,33017.4,40724.79,59,14.5,51,"Niesel, leicht",9.1715,11.312441666666667,light,drizzle,False
2024-03-07,7.9,4.3,0.7,0.0,0.0,12744.79,40952.18,45,15.5,3,bedeckt,3.540219444444445,11.375605555555556,none,partly_cloudy,True
2024-03-08,10.3,4.4,-0.4,0.0,0.0,37385.96,41179.27,6,19.0,2,teilweise bewölkt,10.38498888888889,11.43868611111111,none,sunny,True
2024-03-09,12.2,6.1,1.4,0.0,0.0,34005.93,41405.89,71,12.4,3,bedeckt,9.446091666666666,11.501636111111111,none,cloudy,True
2024-03-10,13.5,8.8,5.2,0.6,1.0,22373.36,41631.91,100,16.3,53,"Niesel, mäßig",6.214822222222223,11.564419444444445,light,drizzle,False
2024-03-11,11.4,7.6,3.7,13.0,15.0,17611.59,41857.18,71,20.5,61,"Regen, leicht",4.892108333333334,11.626994444444444,heavy,rainy,False
2024-03-12,10.2,6.6,2.7,3.7,12.0,22240.22,42081.53,70,14.3,55,"Niesel, stark",6.177838888888889,11.689313888888888,moderate,drizzle,False
2024-03-13,10.7,7.7,5.7,2.2,6.0,0.0,42305.08,100,9.6,55,"Niesel, stark",0.0,11.751411111111112,moderate,drizzle,False
2024-03-14,14.4,9.9,6.3,0.0,0.0,33907.17,42529.48,93,12.9,3,bedeckt,9.418658333333333,11.813744444444445,none,cloudy,True
2024-03-15,14.5,10.4,6.5,0.6,4.0,27476.92,42754.94,91,21.9,51,"Niesel, leicht",7.632477777777777,11.876372222222223,light,drizzle,False
2024-03-16,11.9,8.6,2.4,1.5,8.0,22882.87,42981.32,74,21.4,51,"Niesel, leicht",6.3563527777777775,11.939255555555555,light,drizzle,False
2024-03-17,12.0,7.0,2.5,0.0,0.0,25707.58,43208.5,78,9.2,3,bedeckt,7.140994444444445,12.002361111111112,none,cloudy,True
2024-03-18,14.4,9.3,5.4,1.1,10.0,23072.24,43436.32,80,7.9,51,"Niesel, leicht",6.408955555555556,12.065644444444445,light,drizzle,False
2024-03-19,13.6,9.0,4.4,0.0,0.0,32400.0,43664.66,73,7.6,3,bedeckt,9.0,12.129072222222224,none,cloudy,True
2024-03-20,16.7,11.1,5.4,0.0,0.0,39600.0,43893.38,98,8.7,3,bedeckt,11.0,12.192605555555556,none,cloudy,True
2024-03-21,14.4,10.9,6.0,0.0,0.0,33707.32,44122.35,90,20.9,3,bedeckt,9.363144444444444,12.256208333333333,none,cloudy,True
2024-03-22,16.6,10.2,4.9,0.0,0.0,29723.11,44351.43,77,17.1,3,bedeckt,8.256419444444445,12.319841666666667,none,cloudy,True
2024-03-23,9.4,5.9,1.9,7.0,15.0,27727.52,44580.49,68,22.9,73,"Schnee, mäßig",7.702088888888889,12.383469444444444,moderate,snow,False
2024-03-24,8.6,4.9,1.1,4.1,9.0,22291.79,44809.41,72,28.1,73,"Schnee, mäßig",6.1921638888888895,12.447058333333334,moderate,snow,False
2024-03-25,10.2,5.8,3.1,0.1,1.0,34864.46,45038.02,78,13.9,51,"Niesel, leicht",9.684572222222222,12.51056111111111,light,drizzle,False
2024-03-26,12.5,6.9,1.6,0.0,0.0,38209.49,45266.21,69,10.0,3,bedeckt,10.613747222222221,12.573947222222221,none,partly_cloudy,True
