start,end,length_steps,duration_minutes
2024-02-29 23:20:00+00:00,2024-03-01 17:00:00+00:00,107,1070.0
2024-03-02 16:40:00+00:00,2024-03-04 06:00:00+00:00,225,2250.0
2024-03-04 14:20:00+00:00,2024-03-04 17:00:00+00:00,17,170.0
2024-03-05 16:00:00+00:00,2024-03-05 16:50:00+00:00,6,60.0
2024-03-06 12:40:00+00:00,2024-03-06 16:30:00+00:00,24,240.0
2024-03-06 22:50:00+00:00,2024-03-07 03:30:00+00:00,29,290.0
2024-03-07 13:20:00+00:00,2024-03-08 05:10:00+00:00,96,960.0
2024-03-08 12:50:00+00:00,2024-03-09 02:40:00+00:00,84,840.0
2024-03-09 12:50:00+00:00,2024-03-10 06:20:00+00:00,106,1060.0
2024-03-10 12:40:00+00:00,2024-03-10 14:00:00+00:00,9,90.0
2024-03-10 20:20:00+00:00,2024-03-11 05:20:00+00:00,55,550.0
2024-03-11 17:10:00+00:00,2024-03-11 17:20:00+00:00,2,20.0
2024-03-12 14:00:00+00:00,2024-03-12 22:30:00+00:00,52,520.0
2024-03-13 15:40:00+00:00,2024-03-13 21:30:00+00:00,36,360.0
2024-03-14 13:00:00+00:00,2024-03-14 18:10:00+00:00,32,320.0
2024-03-15 15:00:00+00:00,2024-03-15 17:10:00+00:00,14,140.0
2024-03-16 15:40:00+00:00,2024-03-16 16:50:00+00:00,8,80.0
2024-03-17 12:30:00+00:00,2024-03-18 03:10:00+00:00,89,890.0
2024-03-18 14:20:00+00:00,2024-03-18 22:20:00+00:00,49,490.0
2024-03-19 15:30:00+00:00,2024-03-20 05:00:00+00:00,82,820.0
2024-03-20 12:10:00+00:00,2024-03-21 04:00:00+00:00,96,960.0
2024-03-21 12:40:00+00:00,2024-03-21 13:40:00+00:00,7,70.0
2024-03-21 20:00:00+00:00,2024-03-22 01:10:00+00:00,32,320.0
2024-03-22 14:20:00+00:00,2024-03-23 00:30:00+00:00,62,620.0
2024-03-23 14:00:00+00:00,2024-03-24 03:30:00+00:00,82,820.0
2024-03-24 12:50:00+00:00,2024-03-26 05:30:00+00:00,245,2450.0
2024-03-26 12:00:00+00:00,2024-03-26 16:50:00+00:00,30,300.0
2024-03-27 12:20:00+00:00,2024-03-28 05:20:00+00:00,103,1030.0
2024-03-28 15:40:00+00:00,2024-03-29 05:40:00+00:00,85,850.0
2024-03-29 14:30:00+00:00,2024-03-29 16:40:00+00:00,14,140.0
2024-03-30 15:10:00+00:00,2024-03-30 23:50:00+00:00,53,530.0
2024-03-31 12:50:00+00:00,2024-04-01 07:40:00+00:00,114,1140.0
2024-04-01 14:00:00+00:00,2024-04-01 23:00:00+00:00,55,550.0
2024-04-02 13:30:00+00:00,2024-04-03 14:30:00+00:00,151,1510.0
2024-04-05 12:40:00+00:00,2024-04-07 15:20:00+00:00,305,3050.0
2024-04-07 21:40:00+00:00,2024-04-08 04:10:00+00:00,40,400.0
2024-04-08 11:50:00+00:00,2024-04-10 02:10:00+00:00,231,2310.0
2024-04-10 18:40:00+00:00,2024-04-11 16:00:00+00:00,129,1290.0
2024-04-12 03:50:00+00:00,2024-04-12 15:40:00+00:00,72,720.0
2024-04-12 22:00:00+00:00,2024-04-14 15:40:00+00:00,251,2510.0
2024-04-14 22:30:00+00:00,2024-04-15 05:00:00+00:00,40,400.0
2024-04-15 11:40:00+00:00,2024-04-16 12:00:00+00:00,147,1470.0
2024-04-16 18:20:00+00:00,2024-04-17 17:20:00+00:00,139,1390.0
2024-04-17 23:40:00+00:00,2024-04-18 12:00:00+00:00,75,750.0
2024-04-18 18:20:00+00:00,2024-04-19 09:20:00+00:00,91,910.0
2024-04-19 15:50:00+00:00,2024-04-19 16:20:00+00:00,4,40.0
2024-04-19 22:40:00+00:00,2024-04-20 03:30:00+00:00,30,300.0
2024-04-20 12:10:00+00:00,2024-04-20 16:40:00+00:00,28,280.0
2024-04-20 23:00:00+00:00,2024-04-22 15:50:00+00:00,246,2460.0
2024-04-22 22:10:00+00:00,2024-04-23 16:40:00+00:00,112,1120.0
2024-04-23 23:00:00+00:00,2024-04-24 16:40:00+00:00,107,1070.0
2024-04-24 23:00:00+00:00,2024-04-26 17:30:00+00:00,256,2560.0
2024-04-26 23:50:00+00:00,2024-04-29 05:10:00+00:00,321,3210.0
2024-04-29 12:00:00+00:00,2024-04-29 15:50:00+00:00,24,240.0
2024-04-29 22:30:00+00:00,2024-05-03 06:40:00+00:00,482,4820.0
2024-05-03 14:10:00+00:00,2024-05-03 15:10:00+00:00,7,70.0
2024-05-04 10:50:00+00:00,2024-05-05 09:00:00+00:00,134,1340.0
2024-05-05 15:20:00+00:00,2024-05-06 16:30:00+00:00,152,1520.0
2024-05-07 12:30:00+00:00,2024-05-07 15:50:00+00:00,21,210.0
2024-05-07 23:40:00+00:00,2024-05-08 05:40:00+00:00,37,370.0
2024-05-08 12:00:00+00:00,2024-05-08 15:50:00+00:00,24,240.0
2024-05-08 22:40:00+00:00,2024-05-09 04:50:00+00:00,38,380.0
2024-05-09 11:30:00+00:00,2024-05-10 10:20:00+00:00,138,1380.0
2024-05-10 16:40:00+00:00,2024-05-13 17:00:00+00:00,435,4350.0
2024-05-13 23:20:00+00:00,2024-05-16 17:20:00+00:00,397,3970.0
2024-05-16 23:40:00+00:00,2024-05-18 03:40:00+00:00,169,1690.0
2024-05-18 12:50:00+00:00,2024-05-19 06:00:00+00:00,104,1040.0
2024-05-19 13:00:00+00:00,2024-05-20 03:30:00+00:00,88,880.0
2024-05-20 11:30:00+00:00,2024-05-20 16:10:00+00:00,29,290.0
2024-05-20 22:30:00+00:00,2024-05-22 03:20:00+00:00,174,1740.0
2024-05-22 13:20:00+00:00,2024-05-22 16:20:00+00:00,19,190.0
2024-05-22 22:40:00+00:00,2024-05-23 16:10:00+00:00,106,1060.0
2024-05-23 22:30:00+00:00,2024-05-26 15:40:00+00:00,392,3920.0
2024-05-26 22:00:00+00:00,2024-05-26 22:50:00+00:00,6,60.0
2024-05-27 05:10:00+00:00,2024-05-27 16:20:00+00:00,68,680.0
2024-05-27 22:40:00+00:00,2024-05-30 16:40:00+00:00,397,3970.0
2024-05-30 23:00:00+00:00,2024-05-31 16:40:00+00:00,107,1070.0
