start,end,length_steps,duration_minutes
2024-02-29 23:20:00+00:00,2024-03-01 04:40:00+00:00,33,330.0
2024-03-01 11:00:00+00:00,2024-03-01 12:20:00+00:00,9,90.0
2024-03-01 18:40:00+00:00,2024-03-01 19:10:00+00:00,4,40.0
2024-03-02 01:30:00+00:00,2024-03-02 09:40:00+00:00,50,500.0
2024-03-02 22:00:00+00:00,2024-03-03 02:50:00+00:00,30,300.0
2024-03-03 20:40:00+00:00,2024-03-04 01:20:00+00:00,29,290.0
2024-03-04 07:40:00+00:00,2024-03-04 12:10:00+00:00,28,280.0
2024-03-04 18:30:00+00:00,2024-03-05 09:30:00+00:00,91,910.0
2024-03-05 21:20:00+00:00,2024-03-06 09:40:00+00:00,75,750.0
2024-03-06 23:50:00+00:00,2024-03-07 08:10:00+00:00,51,510.0
2024-03-07 21:10:00+00:00,2024-03-08 07:00:00+00:00,60,600.0
2024-03-08 19:00:00+00:00,2024-03-08 19:20:00+00:00,3,30.0
2024-03-09 01:40:00+00:00,2024-03-09 09:10:00+00:00,46,460.0
2024-03-09 18:30:00+00:00,2024-03-10 01:20:00+00:00,42,420.0
2024-03-10 07:40:00+00:00,2024-03-10 12:20:00+00:00,29,290.0
2024-03-10 21:00:00+00:00,2024-03-11 10:30:00+00:00,82,820.0
2024-03-11 17:00:00+00:00,2024-03-12 08:30:00+00:00,94,940.0
2024-03-12 14:50:00+00:00,2024-03-13 14:50:00+00:00,145,1450.0
2024-03-13 21:10:00+00:00,2024-03-14 09:10:00+00:00,73,730.0
2024-03-14 20:20:00+00:00,2024-03-14 21:40:00+00:00,9,90.0
2024-03-15 04:00:00+00:00,2024-03-16 08:10:00+00:00,170,1700.0
2024-03-16 23:00:00+00:00,2024-03-17 08:40:00+00:00,59,590.0
2024-03-18 00:10:00+00:00,2024-03-18 20:30:00+00:00,123,1230.0
2024-03-19 02:50:00+00:00,2024-03-19 14:40:00+00:00,72,720.0
2024-03-19 21:50:00+00:00,2024-03-20 07:20:00+00:00,58,580.0
2024-03-20 22:10:00+00:00,2024-03-21 07:40:00+00:00,58,580.0
2024-03-21 21:00:00+00:00,2024-03-22 00:20:00+00:00,21,210.0
2024-03-22 06:40:00+00:00,2024-03-22 10:50:00+00:00,26,260.0
2024-03-22 22:00:00+00:00,2024-03-23 07:10:00+00:00,56,560.0
2024-03-23 21:20:00+00:00,2024-03-24 02:10:00+00:00,30,300.0
2024-03-24 08:30:00+00:00,2024-03-24 10:30:00+00:00,13,130.0
