start,end,length_steps,duration_minutes
2024-03-01 15:20:00+00:00,2024-03-01 15:40:00+00:00,3,30.0
2024-03-02 01:40:00+00:00,2024-03-02 16:40:00+00:00,91,910.0
2024-03-04 23:20:00+00:00,2024-03-05 09:30:00+00:00,62,620.0
2024-03-05 22:50:00+00:00,2024-03-06 16:10:00+00:00,105,1050.0
2024-03-08 11:20:00+00:00,2024-03-08 12:50:00+00:00,10,100.0
2024-03-09 08:40:00+00:00,2024-03-09 12:00:00+00:00,21,210.0
2024-03-10 12:30:00+00:00,2024-03-10 15:00:00+00:00,16,160.0
2024-03-11 23:40:00+00:00,2024-03-12 10:30:00+00:00,66,660.0
2024-03-13 04:30:00+00:00,2024-03-13 09:20:00+00:00,30,300.0
2024-03-14 03:30:00+00:00,2024-03-14 15:40:00+00:00,74,740.0
2024-03-15 06:10:00+00:00,2024-03-15 07:10:00+00:00,7,70.0
2024-03-15 23:30:00+00:00,2024-03-16 08:40:00+00:00,56,560.0
2024-03-17 04:20:00+00:00,2024-03-17 13:00:00+00:00,53,530.0
2024-03-18 09:20:00+00:00,2024-03-18 10:30:00+00:00,8,80.0
2024-03-19 04:20:00+00:00,2024-03-19 16:20:00+00:00,73,730.0
2024-03-20 11:10:00+00:00,2024-03-20 16:20:00+00:00,32,320.0
2024-03-21 10:00:00+00:00,2024-03-21 13:40:00+00:00,23,230.0
2024-03-22 07:10:00+00:00,2024-03-22 11:50:00+00:00,29,290.0
2024-03-23 06:50:00+00:00,2024-03-23 10:40:00+00:00,24,240.0
2024-03-24 09:40:00+00:00,2024-03-24 13:50:00+00:00,26,260.0
2024-03-25 12:00:00+00:00,2024-03-25 15:30:00+00:00,22,220.0
2024-03-27 02:10:00+00:00,2024-03-27 07:40:00+00:00,34,340.0
2024-03-27 15:20:00+00:00,2024-03-27 15:20:00+00:00,1,10.0
2024-03-29 22:50:00+00:00,2024-03-30 16:30:00+00:00,107,1070.0
2024-03-31 05:50:00+00:00,2024-03-31 16:40:00+00:00,66,660.0
2024-04-02 04:50:00+00:00,2024-04-02 08:40:00+00:00,24,240.0
2024-04-02 15:00:00+00:00,2024-04-02 16:50:00+00:00,12,120.0
2024-04-03 22:40:00+00:00,2024-04-03 22:40:00+00:00,1,10.0
2024-04-04 05:00:00+00:00,2024-04-04 10:50:00+00:00,36,360.0
2024-04-05 01:00:00+00:00,2024-04-05 17:00:00+00:00,97,970.0
2024-04-06 11:40:00+00:00,2024-04-06 17:10:00+00:00,34,340.0
2024-04-07 14:30:00+00:00,2024-04-07 15:20:00+00:00,6,60.0
2024-04-08 13:20:00+00:00,2024-04-08 17:20:00+00:00,25,250.0
2024-04-09 14:30:00+00:00,2024-04-09 16:50:00+00:00,15,150.0
2024-04-10 08:20:00+00:00,2024-04-10 10:20:00+00:00,13,130.0
2024-04-11 11:50:00+00:00,2024-04-11 15:20:00+00:00,22,220.0
