start,end,length_steps,duration_minutes
2024-02-29 23:00:00+00:00,2024-03-01 08:20:00+00:00,57,570.0
2024-03-01 10:10:00+00:00,2024-03-01 11:30:00+00:00,9,90.0
2024-03-01 11:50:00+00:00,2024-03-01 12:00:00+00:00,2,20.0
2024-03-01 14:30:00+00:00,2024-03-01 14:40:00+00:00,2,20.0
2024-03-01 15:00:00+00:00,2024-03-02 00:50:00+00:00,60,600.0
2024-03-02 01:20:00+00:00,2024-03-02 07:30:00+00:00,38,380.0
2024-03-02 12:00:00+00:00,2024-03-03 07:00:00+00:00,115,1150.0
2024-03-03 09:50:00+00:00,2024-03-03 12:30:00+00:00,17,170.0
2024-03-03 13:10:00+00:00,2024-03-04 08:10:00+00:00,115,1150.0
2024-03-04 08:30:00+00:00,2024-03-04 08:30:00+00:00,1,10.0
2024-03-04 08:50:00+00:00,2024-03-04 09:00:00+00:00,2,20.0
2024-03-04 09:20:00+00:00,2024-03-04 09:20:00+00:00,1,10.0
2024-03-04 09:40:00+00:00,2024-03-04 09:40:00+00:00,1,10.0
2024-03-04 10:00:00+00:00,2024-03-04 10:50:00+00:00,6,60.0
2024-03-04 11:10:00+00:00,2024-03-04 11:10:00+00:00,1,10.0
2024-03-04 12:20:00+00:00,2024-03-04 12:20:00+00:00,1,10.0
2024-03-04 12:50:00+00:00,2024-03-04 12:50:00+00:00,1,10.0
2024-03-04 13:10:00+00:00,2024-03-05 06:40:00+00:00,106,1060.0
2024-03-05 07:00:00+00:00,2024-03-05 09:10:00+00:00,14,140.0
2024-03-05 09:30:00+00:00,2024-03-05 09:30:00+00:00,1,10.0
2024-03-05 10:00:00+00:00,2024-03-05 10:10:00+00:00,2,20.0
2024-03-05 10:30:00+00:00,2024-03-05 10:30:00+00:00,1,10.0
2024-03-05 10:50:00+00:00,2024-03-05 10:50:00+00:00,1,10.0
2024-03-05 11:10:00+00:00,2024-03-05 11:20:00+00:00,2,20.0
2024-03-05 11:40:00+00:00,2024-03-05 12:20:00+00:00,5,50.0
2024-03-05 12:40:00+00:00,2024-03-05 14:10:00+00:00,10,100.0
2024-03-05 14:30:00+00:00,2024-03-05 14:40:00+00:00,2,20.0
2024-03-05 15:00:00+00:00,2024-03-06 06:50:00+00:00,96,960.0
2024-03-06 07:10:00+00:00,2024-03-06 07:10:00+00:00,1,10.0
2024-03-06 07:30:00+00:00,2024-03-06 07:30:00+00:00,1,10.0
2024-03-06 12:10:00+00:00,2024-03-07 07:00:00+00:00,114,1140.0
2024-03-07 07:20:00+00:00,2024-03-07 07:20:00+00:00,1,10.0
2024-03-07 10:00:00+00:00,2024-03-07 10:00:00+00:00,1,10.0
2024-03-07 11:50:00+00:00,2024-03-08 06:40:00+00:00,114,1140.0
2024-03-08 09:50:00+00:00,2024-03-08 13:10:00+00:00,21,210.0
2024-03-08 13:30:00+00:00,2024-03-08 13:40:00+00:00,2,20.0
2024-03-08 14:00:00+00:00,2024-03-09 07:00:00+00:00,103,1030.0
2024-03-09 07:30:00+00:00,2024-03-09 07:30:00+00:00,1,10.0
