start,end,length_steps,duration_minutes
2024-02-29 23:00:00+00:00,2024-03-01 04:40:00+00:00,35,350.0
2024-03-01 05:00:00+00:00,2024-03-01 12:20:00+00:00,45,450.0
2024-03-01 12:40:00+00:00,2024-03-01 19:10:00+00:00,40,400.0
2024-03-01 19:30:00+00:00,2024-03-02 09:40:00+00:00,86,860.0
2024-03-02 10:00:00+00:00,2024-03-02 10:40:00+00:00,5,50.0
2024-03-02 11:00:00+00:00,2024-03-02 11:20:00+00:00,3,30.0
2024-03-02 13:50:00+00:00,2024-03-02 13:50:00+00:00,1,10.0
2024-03-02 14:10:00+00:00,2024-03-02 14:40:00+00:00,4,40.0
2024-03-02 15:00:00+00:00,2024-03-02 15:00:00+00:00,1,10.0
2024-03-02 15:20:00+00:00,2024-03-02 15:40:00+00:00,3,30.0
2024-03-02 16:00:00+00:00,2024-03-03 02:50:00+00:00,66,660.0
2024-03-03 03:10:00+00:00,2024-03-03 08:10:00+00:00,31,310.0
2024-03-03 08:30:00+00:00,2024-03-03 08:40:00+00:00,2,20.0
2024-03-03 09:00:00+00:00,2024-03-03 09:10:00+00:00,2,20.0
2024-03-03 12:30:00+00:00,2024-03-03 12:30:00+00:00,1,10.0
2024-03-03 12:50:00+00:00,2024-03-03 13:00:00+00:00,2,20.0
2024-03-03 14:20:00+00:00,2024-03-03 14:20:00+00:00,1,10.0
2024-03-03 14:40:00+00:00,2024-03-04 01:20:00+00:00,65,650.0
2024-03-04 01:40:00+00:00,2024-03-04 12:10:00+00:00,64,640.0
2024-03-04 12:30:00+00:00,2024-03-05 09:30:00+00:00,127,1270.0
2024-03-05 10:00:00+00:00,2024-03-05 15:00:00+00:00,31,310.0
2024-03-05 15:20:00+00:00,2024-03-06 09:40:00+00:00,111,1110.0
2024-03-06 10:00:00+00:00,2024-03-06 11:00:00+00:00,7,70.0
2024-03-06 11:20:00+00:00,2024-03-06 11:50:00+00:00,4,40.0
2024-03-06 13:30:00+00:00,2024-03-06 13:30:00+00:00,1,10.0
2024-03-06 15:00:00+00:00,2024-03-06 15:00:00+00:00,1,10.0
2024-03-06 15:20:00+00:00,2024-03-06 17:30:00+00:00,14,140.0
2024-03-06 17:50:00+00:00,2024-03-07 08:10:00+00:00,87,870.0
2024-03-07 08:30:00+00:00,2024-03-07 10:40:00+00:00,14,140.0
2024-03-07 11:00:00+00:00,2024-03-07 11:30:00+00:00,4,40.0
2024-03-07 14:20:00+00:00,2024-03-07 14:50:00+00:00,4,40.0
2024-03-07 15:10:00+00:00,2024-03-08 07:00:00+00:00,96,960.0
2024-03-08 07:20:00+00:00,2024-03-08 08:20:00+00:00,7,70.0
2024-03-08 08:40:00+00:00,2024-03-08 09:00:00+00:00,3,30.0
2024-03-08 13:00:00+00:00,2024-03-08 19:20:00+00:00,39,390.0
2024-03-08 19:40:00+00:00,2024-03-09 09:10:00+00:00,82,820.0
2024-03-09 09:30:00+00:00,2024-03-09 09:40:00+00:00,2,20.0
2024-03-09 12:10:00+00:00,2024-03-09 12:10:00+00:00,1,10.0
2024-03-09 12:30:00+00:00,2024-03-10 01:20:00+00:00,78,780.0
