start,end,length_steps,duration_minutes
2024-02-29 23:00:00+00:00,2024-03-01 08:20:00+00:00,57,570.0
2024-03-01 10:20:00+00:00,2024-03-01 10:20:00+00:00,1,10.0
2024-03-01 10:40:00+00:00,2024-03-01 10:50:00+00:00,2,20.0
2024-03-01 11:10:00+00:00,2024-03-01 11:10:00+00:00,1,10.0
2024-03-01 11:30:00+00:00,2024-03-01 11:30:00+00:00,1,10.0
2024-03-01 12:00:00+00:00,2024-03-01 12:00:00+00:00,1,10.0
2024-03-01 14:40:00+00:00,2024-03-01 14:40:00+00:00,1,10.0
2024-03-01 15:10:00+00:00,2024-03-01 15:10:00+00:00,1,10.0
2024-03-01 15:30:00+00:00,2024-03-01 15:30:00+00:00,1,10.0
2024-03-01 15:50:00+00:00,2024-03-01 16:00:00+00:00,2,20.0
2024-03-01 16:20:00+00:00,2024-03-02 07:20:00+00:00,91,910.0
2024-03-02 13:30:00+00:00,2024-03-02 13:30:00+00:00,1,10.0
2024-03-02 14:00:00+00:00,2024-03-02 14:00:00+00:00,1,10.0
2024-03-02 14:20:00+00:00,2024-03-02 14:30:00+00:00,2,20.0
2024-03-02 14:50:00+00:00,2024-03-02 14:50:00+00:00,1,10.0
2024-03-02 15:20:00+00:00,2024-03-02 15:30:00+00:00,2,20.0
2024-03-02 15:50:00+00:00,2024-03-02 16:00:00+00:00,2,20.0
2024-03-02 16:20:00+00:00,2024-03-03 07:00:00+00:00,89,890.0
2024-03-03 15:00:00+00:00,2024-03-03 15:10:00+00:00,2,20.0
2024-03-03 15:30:00+00:00,2024-03-04 06:50:00+00:00,93,930.0
2024-03-04 07:10:00+00:00,2024-03-04 07:20:00+00:00,2,20.0
2024-03-04 07:40:00+00:00,2024-03-04 07:40:00+00:00,1,10.0
2024-03-04 08:00:00+00:00,2024-03-04 08:10:00+00:00,2,20.0
2024-03-04 08:30:00+00:00,2024-03-04 08:30:00+00:00,1,10.0
2024-03-04 09:00:00+00:00,2024-03-04 09:00:00+00:00,1,10.0
2024-03-04 09:40:00+00:00,2024-03-04 09:40:00+00:00,1,10.0
2024-03-04 10:10:00+00:00,2024-03-04 10:10:00+00:00,1,10.0
2024-03-04 10:30:00+00:00,2024-03-04 10:30:00+00:00,1,10.0
